URL de l'image,Sous-titreur,Noteur,Sous-titre de l'image,Score humain,Score CLIP,Score normalisée,DeltaScore,EcartAbsolu,,,
http://cocodataset.org/#explore?id=198654,Arthur,Conrad,dancers dancing on a Broadway show,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=518361,COCO,Aymeric,three people standing at the zoo watching a elephant,"0,95","0,62","0,56","0,06","0,1298785127",http://cocodataset.org/#explore?id,518361,three people standing at the zoo watching a elephant;six people standing at the zoo watching two elephant;nobody watching nothing
http://cocodataset.org/#explore?id=518361,Arthur,Aymeric,six people standing at the zoo watching two elephant,"0,65","0,38","0,38","-0,01",,,,
http://cocodataset.org/#explore?id=518361,Arthur,Aymeric,nobody watching nothing,"0,1","0,00","0,06","-0,06",,,,
http://cocodataset.org/#explore?id=525640,COCO,Léo,a banana dressed up to look like a person infront of a paper,"0,7","1,00","0,88","0,12","0,24704678",http://cocodataset.org/#explore?id,525640,a banana dressed up to look like a person infront of a paper;a man signing a contract;a salad fruit in the process of making
http://cocodataset.org/#explore?id=525640,Arthur,Léo,a man signing a contract,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=525640,Arthur,Léo,a salad fruit in the process of making,"0,1","0,00","0,13","-0,12",,,,
http://cocodataset.org/#explore?id=526347,COCO,Conrad,a skateboarder on a skateboard in a skate park,1,"1,00","0,71","0,28","0,5674109636",http://cocodataset.org/#explore?id,526347,a skateboarder on a skateboard in a skate park;a young man in shorts doing sports;a girl running after her dog
http://cocodataset.org/#explore?id=526347,Arthur,Conrad,a young man in shorts doing sports,"0,4","0,00","0,29","-0,28",,,,
http://cocodataset.org/#explore?id=526347,Arthur,Conrad,a girl running after her dog,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=4130,COCO,Aymeric,a bus parked on a street in front of several buildings,"0,7","1,00","0,70","0,30","0,5943176329",http://cocodataset.org/#explore?id,4130,a bus parked on a street in front of several buildings;a busy street some days before Christmas;a murder scene in a kitchen appliance shop
http://cocodataset.org/#explore?id=4130,Arthur,Aymeric,a busy street some days before Christmas,"0,3","0,00","0,30","-0,30",,,,
http://cocodataset.org/#explore?id=4130,Arthur,Aymeric,a murder scene in a kitchen appliance shop,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=522661,COCO,Léo,two people holding suitcases walking towards a greyhound bus,"0,9","0,93","0,64","0,29","0,5813969414",http://cocodataset.org/#explore?id,522661,two people holding suitcases walking towards a greyhound bus;a group of persons running after a departing long-distance bus;two swimmers in bathing suits lining at the front desk
http://cocodataset.org/#explore?id=522661,Arthur,Léo,a group of persons running after a departing long-distance bus,"0,5","0,07","0,36","-0,29",,,,
http://cocodataset.org/#explore?id=522661,Arthur,Léo,two swimmers in bathing suits lining at the front desk,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=310526,COCO,Conrad,a traffic light with a green signal next to tall buildings,"0,9","1,00","0,75","0,25","0,4998783772",http://cocodataset.org/#explore?id,310526,a traffic light with a green signal next to tall buildings;a red traffic light in the country side;a male swan on a lake is courtshipping a female swan
http://cocodataset.org/#explore?id=310526,Arthur,Conrad,a red traffic light in the country side,"0,3","0,00","0,25","-0,25",,,,
http://cocodataset.org/#explore?id=310526,Arthur,Conrad,a male swan on a lake is courtshipping a female swan,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=497591,COCO,Aymeric,a small child is sitting on a bench outside,"0,7","0,74","0,70","0,04","0,15710172",http://cocodataset.org/#explore?id,497591,a small child is sitting on a bench outside;a child waiting for his parents to finish shopping;a shop with UNDERGROUND written on the entrance
http://cocodataset.org/#explore?id=497591,Arthur,Aymeric,a child waiting for his parents to finish shopping,"0,2","0,24","0,20","0,04",,,,
http://cocodataset.org/#explore?id=497591,Arthur,Aymeric,a shop with UNDERGROUND written on the entrance,"0,1","0,02","0,10","-0,08",,,,
http://cocodataset.org/#explore?id=338991,COCO,Léo,a man is on a tennis court playing tennis,1,"0,89","0,71","0,18","0,3594120435",http://cocodataset.org/#explore?id,338991,a man is on a tennis court playing tennis;fours tennis players sharing a court for a match;a very tall man kissing a very short girl
http://cocodataset.org/#explore?id=338991,Arthur,Léo,fours tennis players sharing a court for a match,"0,4","0,11","0,29","-0,18",,,,
http://cocodataset.org/#explore?id=338991,Arthur,Léo,a very tall man kissing a very short girl,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=446463,COCO,Conrad,an old fashioned photograph of a fleet of buses,1,"1,00","0,56","0,44","0,8885760112",http://cocodataset.org/#explore?id,446463,an old fashioned photograph of a fleet of buses;Jules Verne's vision for public transport in 2000;A naked person being captured by the police
http://cocodataset.org/#explore?id=446463,Arthur,Conrad,Jules Verne's vision for public transport in 2000,"0,8","0,00","0,44","-0,44",,,,
http://cocodataset.org/#explore?id=446463,Arthur,Conrad,A naked person being captured by the police,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=50356,COCO,Aymeric,a lot of flowers that are sitting on a table,"0,75","0,65","0,58","0,07","0,1449803759",http://cocodataset.org/#explore?id,50356,a lot of flowers that are sitting on a table;a red rose in a transparent vase;a farmer harvesting sunflowers
http://cocodataset.org/#explore?id=50356,Arthur,Aymeric,a red rose in a transparent vase,"0,5","0,35","0,38","-0,03",,,,
http://cocodataset.org/#explore?id=50356,Arthur,Aymeric,a farmer harvesting sunflowers,"0,05","0,00","0,04","-0,04",,,,
http://cocodataset.org/#explore?id=301402,COCO,Léo,a man sits at a table with a laptop computer on his knees,"0,9","1,00","0,56","0,44","0,8708837835",http://cocodataset.org/#explore?id,301402,a man sits at a table with a laptop computer on his knees;a young boy fidgetting while a woman is talking;a young man asking for helpo in a computer shop
http://cocodataset.org/#explore?id=301402,Arthur,Léo,a young boy fidgetting while a woman is talking,"0,2","0,00","0,13","-0,12",,,,
http://cocodataset.org/#explore?id=301402,Arthur,Léo,a young man asking for helpo in a computer shop,"0,5","0,00","0,31","-0,31",,,,
http://cocodataset.org/#explore?id=56624,COCO,Conrad,a wood bench is outside covered in snow,1,"0,96","0,63","0,33","0,6679715184",http://cocodataset.org/#explore?id,56624,a wood bench is outside covered in snow;a bench decorated for Christmas;three PWC employees writing a report
http://cocodataset.org/#explore?id=56624,Arthur,Conrad,a bench decorated for Christmas,"0,6","0,04","0,38","-0,33",,,,
http://cocodataset.org/#explore?id=56624,Arthur,Conrad,three PWC employees writing a report,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=21097,COCO,Aymeric,the meal on the table is ready to be eaten,"0,4","0,05","0,40","-0,35","0,7017630182",http://cocodataset.org/#explore?id,21097,the meal on the table is ready to be eaten;italian dish and plastic cutlery;a polluted river with dead fish
http://cocodataset.org/#explore?id=21097,Arthur,Aymeric,italian dish and plastic cutlery,"0,6","0,95","0,60","0,35",,,,
http://cocodataset.org/#explore?id=21097,Arthur,Aymeric,a polluted river with dead fish,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=14824,COCO,Léo,a group of people dressed as zombies near a stop sign,1,"1,00","0,77","0,23","0,4590895665",http://cocodataset.org/#explore?id,14824,a group of people dressed as zombies near a stop sign;a confused scene after an attack;a giraffe eating leaves at the top of the trees
http://cocodataset.org/#explore?id=14824,Arthur,Léo,a confused scene after an attack,"0,3","0,00","0,23","-0,23",,,,
http://cocodataset.org/#explore?id=14824,Arthur,Léo,a giraffe eating leaves at the top of the trees,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=317730,COCO,Conrad,a man is holding a surfboard decorated with the image of a woman,1,"0,55","0,50","0,05","0,299797982",http://cocodataset.org/#explore?id,317730,a man is holding a surfboard decorated with the image of a woman;a man is holding a surfboard decorated with the image of an octopus;a man is holding skis decorated with snakes
http://cocodataset.org/#explore?id=317730,Arthur,Conrad,a man is holding a surfboard decorated with the image of an octopus,"0,7","0,45","0,35","0,10",,,,
http://cocodataset.org/#explore?id=317730,Arthur,Conrad,a man is holding skis decorated with snakes,"0,3","0,00","0,15","-0,15",,,,
http://cocodataset.org/#explore?id=160703,COCO,Aymeric,two pizza's on sliver pans on a table with utensils,"0,95","0,99","0,54","0,45","0,891753775",http://cocodataset.org/#explore?id,160703,two pizza's on sliver pans on a table with utensils;five pizzas about to be eaten;a mob assaulting an empty pizza place
http://cocodataset.org/#explore?id=160703,Arthur,Aymeric,five pizzas about to be eaten,"0,6","0,01","0,34","-0,33",,,,
http://cocodataset.org/#explore?id=160703,Arthur,Aymeric,a mob assaulting an empty pizza place,"0,2","0,00","0,11","-0,11",,,,
http://cocodataset.org/#explore?id=302313,COCO,Léo,the thin cow eats some grass next to the tree,"0,9","0,99","0,64","0,34","0,6867929929",http://cocodataset.org/#explore?id,302313,the thin cow eats some grass next to the tree;black and white cow on a green pasture land;a cow herd mooing under the moonlight
http://cocodataset.org/#explore?id=302313,Arthur,Léo,black and white cow on a green pasture land,"0,4","0,01","0,29","-0,27",,,,
http://cocodataset.org/#explore?id=302313,Arthur,Léo,a cow herd mooing under the moonlight,"0,1","0,00","0,07","-0,07",,,,
http://cocodataset.org/#explore?id=104842,COCO,Conrad,a skateboarded takes to the air in a skateboard park,1,"0,88","0,59","0,30","0,5916273318",http://cocodataset.org/#explore?id,104842,a skateboarded takes to the air in a skateboard park;a skateboarder at rest is watching other skateboarders;a little girl reading a book about skateboards at the library
http://cocodataset.org/#explore?id=104842,Arthur,Conrad,a skateboarder at rest is watching other skateboarders,"0,6","0,11","0,35","-0,24",,,,
http://cocodataset.org/#explore?id=104842,Arthur,Conrad,a little girl reading a book about skateboards at the library,"0,1","0,00","0,06","-0,05",,,,
http://cocodataset.org/#explore?id=569865,COCO,Arthur,autumn trees are next to hanging stop lights.,"0,9","1,00","0,46","0,54","1,076771986",http://cocodataset.org/#explore?id,569865,autumn trees are next to hanging stop lights.;a traffic stop;a man is hitchhiking by the side of road
http://cocodataset.org/#explore?id=569865,Conrad,Arthur,a traffic stop,"0,75","0,00","0,38","-0,38",,,,
http://cocodataset.org/#explore?id=569865,Conrad,Arthur,a man is hitchhiking by the side of road,"0,3","0,00","0,15","-0,15",,,,
http://cocodataset.org/#explore?id=62824,COCO,Aymeric,a street sign stands on the 8500 west block of hollywood boulevard.,"0,88","0,99","0,72","0,27","0,5482054323",http://cocodataset.org/#explore?id,62824,a street sign stands on the 8500 west block of hollywood boulevard.;a street sign;a traffic light with a green signal next to tall buildings
http://cocodataset.org/#explore?id=62824,Conrad,Aymeric,a street sign,"0,3","0,01","0,24","-0,23",,,,
http://cocodataset.org/#explore?id=62824,Conrad,Aymeric,a traffic light with a green signal next to tall buildings,"0,05","0,00","0,04","-0,04",,,,
http://cocodataset.org/#explore?id=327802,COCO,Léo,a street sign set in the edge of the sidewalk that says stockton st.,1,"1,00","0,56","0,44","0,8888848181",http://cocodataset.org/#explore?id,327802,a street sign set in the edge of the sidewalk that says stockton st.;a street sign on the sidewalk;a picture of the figure 13 from a textbook
http://cocodataset.org/#explore?id=327802,Conrad,Léo,a street sign on the sidewalk,"0,8","0,00","0,44","-0,44",,,,
http://cocodataset.org/#explore?id=327802,Conrad,Léo,a picture of the figure 13 from a textbook,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=385341,COCO,Arthur,a couple of people that are sitting down with wii remotes,1,"0,77","0,42","0,35","0,6976048667",http://cocodataset.org/#explore?id,385341,a couple of people that are sitting down with wii remotes;two persons holding remotes;some family pictures
http://cocodataset.org/#explore?id=385341,Conrad,Arthur,two persons holding remotes,1,"0,23","0,42","-0,18",,,,
http://cocodataset.org/#explore?id=385341,Conrad,Arthur,some family pictures,"0,4","0,00","0,17","-0,17",,,,
http://cocodataset.org/#explore?id=370121,COCO,Aymeric,a bench sits in a field by the water while it is cloudy.,"0,95","0,99","0,58","0,42","0,8373918445",http://cocodataset.org/#explore?id,370121,a bench sits in a field by the water while it is cloudy.;a bench next to a tree;a family picnic
http://cocodataset.org/#explore?id=370121,Conrad,Aymeric,a bench next to a tree,"0,6","0,01","0,36","-0,36",,,,
http://cocodataset.org/#explore?id=370121,Conrad,Aymeric,a family picnic,"0,1","0,00","0,06","-0,06",,,,
http://cocodataset.org/#explore?id=475277,COCO,Léo,a white horse looking up for a photo at a fence side.,1,"0,54","0,45","0,09","0,3630394944",http://cocodataset.org/#explore?id,475277,a white horse looking up for a photo at a fence side.;a close up of a white horse;me riding a white horse
http://cocodataset.org/#explore?id=475277,Conrad,Léo,a close up of a white horse,"0,8","0,46","0,36","0,10",,,,
http://cocodataset.org/#explore?id=475277,Conrad,Léo,me riding a white horse,"0,4","0,00","0,18","-0,18",,,,
http://cocodataset.org/#explore?id=140122,COCO,Arthur,"a computer monitor, keyboard, and tower with peripherals and plugs sit on a desk.",1,"1,00","0,50","0,50","0,99046038",http://cocodataset.org/#explore?id,140122,"a computer monitor, keyboard, and tower with peripherals and plugs sit on a desk.;a desktop for remote working;a kitchen with a computer"
http://cocodataset.org/#explore?id=140122,Conrad,Arthur,a desktop for remote working,"0,8","0,00","0,40","-0,40",,,,
http://cocodataset.org/#explore?id=140122,Conrad,Arthur,a kitchen with a computer,"0,2","0,00","0,10","-0,10",,,,
http://cocodataset.org/#explore?id=119502,COCO,Aymeric,toddler boy in a tie playing in a dish of mud.,"0,92","0,99","0,41","0,57","1,149670201",http://cocodataset.org/#explore?id,119502,toddler boy in a tie playing in a dish of mud.;a little boy playing outside;a little boy is burying his toy
http://cocodataset.org/#explore?id=119502,Conrad,Aymeric,a little boy playing outside,"0,7","0,01","0,32","-0,31",,,,
http://cocodataset.org/#explore?id=119502,Conrad,Aymeric,a little boy is burying his toy,"0,6","0,00","0,27","-0,27",,,,
http://cocodataset.org/#explore?id=413868,COCO,Léo,a man in the woods throws a frisbee,"0,9","1,00","0,82","0,18","0,3629064079",http://cocodataset.org/#explore?id,413868,a man in the woods throws a frisbee;a cowboy throws a bone at his dog;a cowboy is skeet shooting
http://cocodataset.org/#explore?id=413868,Conrad,Léo,a cowboy throws a bone at his dog,"0,2","0,00","0,18","-0,18",,,,
http://cocodataset.org/#explore?id=413868,Conrad,Léo,a cowboy is skeet shooting,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=12650,COCO,Arthur,several people gathered outside of a bar at night.,"0,9","0,99","0,47","0,52","1,036698473",http://cocodataset.org/#explore?id,12650,several people gathered outside of a bar at night.;a group of people in front of a bar;the last bar before the apocalypse
http://cocodataset.org/#explore?id=12650,Conrad,Arthur,a group of people in front of a bar,"0,9","0,01","0,47","-0,47",,,,
http://cocodataset.org/#explore?id=12650,Conrad,Arthur,the last bar before the apocalypse,"0,1","0,00","0,05","-0,05",,,,
http://cocodataset.org/#explore?id=269338,COCO,Aymeric,a baseball player sliding into a base with another player bent over with glove extended toward a flying baseball.,"0,98","0,98","0,54","0,45","0,893236102",http://cocodataset.org/#explore?id,269338,a baseball player sliding into a base with another player bent over with glove extended toward a flying baseball.;a baseball match;two tennismen playing in a court
http://cocodataset.org/#explore?id=269338,Conrad,Aymeric,a baseball match,"0,65","0,02","0,36","-0,34",,,,
http://cocodataset.org/#explore?id=269338,Conrad,Aymeric,two tennismen playing in a court,"0,2","0,00","0,11","-0,11",,,,
http://cocodataset.org/#explore?id=514601,COCO,Léo,the train platform has green benches on it.,"0,9","0,42","0,39","0,03","0,3862754987",http://cocodataset.org/#explore?id,514601,the train platform has green benches on it.;the train platform is empty;the Massy-Palaiseau train station
http://cocodataset.org/#explore?id=514601,Conrad,Léo,the train platform is empty,"0,9","0,56","0,39","0,17",,,,
http://cocodataset.org/#explore?id=514601,Conrad,Léo,the Massy-Palaiseau train station,"0,5","0,02","0,22","-0,19",,,,
http://cocodataset.org/#explore?id=495456,COCO,Arthur,a person using an oven mitt to take something from the oven.,"0,9","0,95","0,50","0,45","0,90778096",http://cocodataset.org/#explore?id,495456,a person using an oven mitt to take something from the oven.;something is baking in the oven;someone is baking in the oven
http://cocodataset.org/#explore?id=495456,Conrad,Arthur,something is baking in the oven,"0,8","0,03","0,44","-0,41",,,,
http://cocodataset.org/#explore?id=495456,Conrad,Arthur,someone is baking in the oven,"0,1","0,01","0,06","-0,04",,,,
http://cocodataset.org/#explore?id=106513,COCO,Aymeric,bus at rainy bus stop with commuters waiting,"0,9","0,96","0,41","0,55","1,093925232",http://cocodataset.org/#explore?id,106513,bus at rainy bus stop with commuters waiting;commuters are waiting for the bus;students are waiting for the 91.06 bus
http://cocodataset.org/#explore?id=106513,Conrad,Aymeric,commuters are waiting for the bus,"0,75","0,03","0,34","-0,31",,,,
http://cocodataset.org/#explore?id=106513,Conrad,Aymeric,students are waiting for the 91.06 bus,"0,55","0,01","0,25","-0,24",,,,
http://cocodataset.org/#explore?id=380258,COCO,Léo,a pigeon sitting outside a window of a high rise building,"0,9","0,33","0,47","-0,14","0,4660126968",http://cocodataset.org/#explore?id,380258,a pigeon sitting outside a window of a high rise building;a pigeon is looking through the window;a peeping tom is looking through the window
http://cocodataset.org/#explore?id=380258,Conrad,Léo,a pigeon is looking through the window,"0,8","0,65","0,42","0,23",,,,
http://cocodataset.org/#explore?id=380258,Conrad,Léo,a peeping tom is looking through the window,"0,2","0,01","0,11","-0,09",,,,
http://cocodataset.org/#explore?id=61354,COCO,Arthur,an open market selling assorted fruits with bananas hanging,1,"1,00","0,45","0,54","1,088332282",http://cocodataset.org/#explore?id,61354,an open market selling assorted fruits with bananas hanging;bananas are hanging on a pipe;people are distributing free bananas
http://cocodataset.org/#explore?id=61354,Conrad,Arthur,bananas are hanging on a pipe,1,"0,00","0,45","-0,45",,,,
http://cocodataset.org/#explore?id=61354,Conrad,Arthur,people are distributing free bananas,"0,2","0,00","0,09","-0,09",,,,
http://cocodataset.org/#explore?id=506034,COCO,Aymeric,there is a side view mirror and traffic lights in this picture,"0,7","0,97","0,41","0,56","1,116181299",http://cocodataset.org/#explore?id,506034,there is a side view mirror and traffic lights in this picture;a left view from a vehicule;someone is driving to school
http://cocodataset.org/#explore?id=506034,Conrad,Aymeric,a left view from a vehicule,"0,7","0,03","0,41","-0,38",,,,
http://cocodataset.org/#explore?id=506034,Conrad,Aymeric,someone is driving to school,"0,3","0,00","0,18","-0,18",,,,
http://cocodataset.org/#explore?id=239593,COCO,Léo,a black and white picture of a train going down a track with a city in the background,1,"1,00","0,63","0,37","0,7451239217",http://cocodataset.org/#explore?id,239593,a black and white picture of a train going down a track with a city in the background;a building with many street tags;the train is going through the building
http://cocodataset.org/#explore?id=239593,Conrad,Léo,a building with many street tags,"0,4","0,00","0,25","-0,25",,,,
http://cocodataset.org/#explore?id=239593,Conrad,Léo,the train is going through the building,"0,2","0,00","0,13","-0,12",,,,
http://cocodataset.org/#explore?id=103375,COCO,Arthur,a bed has its covers pulled back in a dark room.,1,"0,88","0,50","0,38","0,76043445",http://cocodataset.org/#explore?id,103375,a bed has its covers pulled back in a dark room.;a bedroom with a king size bed;the living room
http://cocodataset.org/#explore?id=103375,Conrad,Arthur,a bedroom with a king size bed,"0,9","0,12","0,45","-0,33",,,,
http://cocodataset.org/#explore?id=103375,Conrad,Arthur,the living room,"0,1","0,00","0,05","-0,05",,,,
http://cocodataset.org/#explore?id=452687,COCO,Aymeric,a person's foot strapped into a black snowboard.,"0,88","0,45","0,55","-0,10","0,2617313445",http://cocodataset.org/#explore?id,452687,a person's foot strapped into a black snowboard.;a black snowboard;someone is sunbathing
http://cocodataset.org/#explore?id=452687,Conrad,Aymeric,a black snowboard,"0,66","0,55","0,42","0,13",,,,
http://cocodataset.org/#explore?id=452687,Conrad,Aymeric,someone is sunbathing,"0,05","0,00","0,03","-0,03",,,,
http://cocodataset.org/#explore?id=430885,COCO,Léo,a cloudy skyline with silhouettes of industrial buildings.,"0,9","0,28","0,47","-0,19","0,5917618168",http://cocodataset.org/#explore?id,430885,a cloudy skyline with silhouettes of industrial buildings.;many industrial buildings with a green light;A bansky art
http://cocodataset.org/#explore?id=430885,Conrad,Léo,many industrial buildings with a green light,"0,8","0,72","0,42","0,30",,,,
http://cocodataset.org/#explore?id=430885,Conrad,Léo,A bansky art,"0,2","0,00","0,11","-0,10",,,,
http://cocodataset.org/#explore?id=292152,COCO,Arthur,a toasted ham sandwich with a pickle on a white plate.,1,"1,00","0,69","0,31","0,6205388953",http://cocodataset.org/#explore?id,292152,a toasted ham sandwich with a pickle on a white plate.;a fine dining breakfast;a baby is crying because the plate is empty
http://cocodataset.org/#explore?id=292152,Conrad,Arthur,a fine dining breakfast,"0,4","0,00","0,28","-0,28",,,,
http://cocodataset.org/#explore?id=292152,Conrad,Arthur,a baby is crying because the plate is empty,"0,05","0,00","0,03","-0,03",,,,
http://cocodataset.org/#explore?id=90024,COCO,Aymeric,a giant teddy bear in front of some trees at the mall,"0,93","1,00","0,60","0,40","0,8065200276",http://cocodataset.org/#explore?id,90024,a giant teddy bear in front of some trees at the mall;a front view of a mall entrance;santa claus is delivering gifts to children
http://cocodataset.org/#explore?id=90024,Conrad,Aymeric,a front view of a mall entrance,"0,63","0,00","0,40","-0,40",,,,
http://cocodataset.org/#explore?id=90024,Conrad,Aymeric,santa claus is delivering gifts to children,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=575331,COCO,Léo,an octopus kite is being flown next to a scuba diver kite above a city park.,1,"1,00","0,59","0,41","0,8160112922",http://cocodataset.org/#explore?id,575331,"an octopus kite is being flown next to a scuba diver kite above a city park.;two kites, one city park;a airballoon has taken off"
http://cocodataset.org/#explore?id=575331,Conrad,Léo,"two kites, one city park","0,6","0,00","0,35","-0,35",,,,
http://cocodataset.org/#explore?id=575331,Conrad,Léo,a airballoon has taken off,"0,1","0,00","0,06","-0,06",,,,
http://cocodataset.org/#explore?id=404917,COCO,Arthur,a baseball player throwing a baseball on a field.,1,"0,93","0,50","0,43","0,8549976061",http://cocodataset.org/#explore?id,404917,a baseball player throwing a baseball on a field.;a baseball game;a boy has broken a window with his baseball thrown
http://cocodataset.org/#explore?id=404917,Conrad,Arthur,a baseball game,"0,9","0,07","0,45","-0,38",,,,
http://cocodataset.org/#explore?id=404917,Conrad,Arthur,a boy has broken a window with his baseball thrown,"0,1","0,00","0,05","-0,05",,,,
http://cocodataset.org/#explore?id=13176,COCO,Aymeric,a man bending to look into a small fridge,"0,93","0,80","0,55","0,25","0,4913856731",http://cocodataset.org/#explore?id,13176,a man bending to look into a small fridge;a man near a fridge;an octopus in the bottom of a hole
http://cocodataset.org/#explore?id=13176,Léo,Aymeric,a man near a fridge,"0,75","0,20","0,45","-0,25",,,,
http://cocodataset.org/#explore?id=13176,Léo,Aymeric,an octopus in the bottom of a hole,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=230227,COCO,Conrad,a cat sitting on a table with a blurred image in the background,1,"0,96","0,59","0,37","0,7471722793",http://cocodataset.org/#explore?id,230227,a cat sitting on a table with a blurred image in the background;a cat;a dancer and an accordion
http://cocodataset.org/#explore?id=230227,Léo,Conrad,a cat,"0,7","0,04","0,41","-0,37",,,,
http://cocodataset.org/#explore?id=230227,Léo,Conrad,a dancer and an accordion,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=122355,COCO,Arthur,four people smiling with tennis rackets in their hands,1,"0,99","0,56","0,44","0,8709671197",http://cocodataset.org/#explore?id,122355,four people smiling with tennis rackets in their hands;people playing tennis;a snowman inside a dark forest
http://cocodataset.org/#explore?id=122355,Léo,Arthur,people playing tennis,"0,8","0,01","0,44","-0,44",,,,
http://cocodataset.org/#explore?id=122355,Léo,Arthur,a snowman inside a dark forest,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=359143,COCO,Aymeric,a blurry photo of a cyclist on a forest path,"0,96","1,00","0,56","0,44","0,876791556",http://cocodataset.org/#explore?id,359143,a blurry photo of a cyclist on a forest path;a man on a bicycle;the olympic games of tokyo
http://cocodataset.org/#explore?id=359143,Léo,Aymeric,a man on a bicycle,"0,75","0,00","0,44","-0,44",,,,
http://cocodataset.org/#explore?id=359143,Léo,Aymeric,the olympic games of tokyo,0,"0,00","0,00","0,00",,,,
